Municipality,Gouvernerat,Population
Ksibet Thrayet,Gouvernorat de Sousse,11623
Agareb,Gouvernorat de Sfax,11513
Regueb,Gouvernorat de Sidi Bouzid,11420
Sidi Thabet,Gouvernorat de l'Ariana,11351
Khniss,Gouvernorat de Monastir,11229
Enfida,Gouvernorat de Sousse,10990
Rejiche,Gouvernorat de Mahdia,10806
Métouia,Gouvernorat de Gabès,10716
Hajeb El Ayoun,Gouvernorat de Kairouan,10621
Gaâfour,Gouvernorat de Siliana,10399
Sidi Bou Ali,Gouvernorat de Sousse,10282
Oudhref,Gouvernorat de Gabès,9932
Bouficha,Gouvernorat de Sousse,9931
Metline,Gouvernorat de Bizerte,9904
Raf Raf,Gouvernorat de Bizerte,9850
Jérissa,Gouvernorat du Kef,9807
Aïn Draham,Gouvernorat de Jendouba,9659
Ghomrassen,Gouvernorat de Tataouine,9568
Sened,Gouvernorat de Gafsa,9533
El Haouaria,Gouvernorat de Nabeul,9508
Tazarka,Gouvernorat de Nabeul,9388
Sidi Ali Ben Aoun,Gouvernorat de Sidi Bouzid,9297
Hammam Ghezèze,Gouvernorat de Nabeul,9076
Oueslatia,Gouvernorat de Kairouan,9006
Beni Hassen,Gouvernorat de Monastir,8801
Khalidia,Gouvernorat de Ben Arous,8470
Menzel Kamel,Gouvernorat de Monastir,8432
Haffouz,Gouvernorat de Kairouan,8429
Sidi Ameur,Gouvernorat de Monastir,8404
Bir Mcherga,Gouvernorat de Zaghouan,8329
Kalaat Senan,Gouvernorat du Kef,8145
Amiret Hajjaj,Gouvernorat de Monastir,8121
El Maâmoura,Gouvernorat de Nabeul,8039
Sbikha,Gouvernorat de Kairouan,8036
Bir Lahmar,Gouvernorat de Tataouine,7955
El Golâa,Gouvernorat de Kébili,7912
Degache,Gouvernorat de Tozeur,7893
Zaouiet Djedidi,Gouvernorat de Nabeul,7862
El Krib,Gouvernorat de Siliana,7841
Bou Hajla,Gouvernorat de Kairouan,7828
El Maâgoula,Gouvernorat de Béja,7809
Foussana,Gouvernorat de Kasserine,7703
El Hencha,Gouvernorat de Sfax,7575
Nadhour,Gouvernorat de Zaghouan,7567
Nouvelle Matmata,Gouvernorat de Gabès,7526
Sidi Alouane,Gouvernorat de Mahdia,7500
Kerker,Gouvernorat de Mahdia,7467
Hergla,Gouvernorat de Sousse,7419
El Bradâa,Gouvernorat de Mahdia,7404
Mezzouna,Gouvernorat de Sidi Bouzid,7390
Nefza,Gouvernorat de Béja,7302
Touza,Gouvernorat de Monastir,7236
Jemna,Gouvernorat de Kébili,7194
Jebiniana,Gouvernorat de Sfax,7190
Menzel Bouzaiane,Gouvernorat de Sidi Bouzid,7113
Somâa,Gouvernorat de Nabeul,7017
Thélepte,Gouvernorat de Kasserine,6932
Zaouiet Kontoch,Gouvernorat de Monastir,6713
Melloulèche,Gouvernorat de Mahdia,6704
Borj El Amri,Gouvernorat de la Manouba,6519
Sbiba,Gouvernorat de Kasserine,6504
Bir El Hafey,Gouvernorat de Sidi Bouzid,6475
Majel Bel Abbès,Gouvernorat de Kasserine,6471
El Batan,Gouvernorat de la Manouba,6453
El Hamma du Jérid,Gouvernorat de Tozeur,6439
Sakiet Sidi Youssef,Gouvernorat du Kef,6335
Remada,Gouvernorat de Tataouine,6289
Amiret Touazra,Gouvernorat de Monastir,6261
Bouhjar,Gouvernorat de Monastir,6137
Sidi Bou Saïd,Gouvernorat de Tunis,5911
El Ksour,Gouvernorat du Kef,5852
Jilma,Gouvernorat de Sidi Bouzid,5821
Lamta,Gouvernorat de Monastir,5790
Chorbane,Gouvernorat de Mahdia,5700
Sejnane,Gouvernorat de Bizerte,5645
Zarat,Gouvernorat de Gabès,5627
Essouassi,Gouvernorat de Mahdia,5381
Ghar El Melh,Gouvernorat de Bizerte,5345
Djebel Oust,Gouvernorat de Zaghouan,5325
Amiret El Fhoul,Gouvernorat de Monastir,5255
Menzel Horr,Gouvernorat de Nabeul,5243
Amdoun,Gouvernorat de Béja,5204
Aousja,Gouvernorat de Bizerte,5126
Ouled Chamekh,Gouvernorat de Mahdia,5120
El Ghnada,Gouvernorat de Monastir,5100
Azmour,Gouvernorat de Nabeul,5054
Nasrallah,Gouvernorat de Kairouan,5012
Bargou,Gouvernorat de Siliana,4916
Bir Ali Ben Khalifa,Gouvernorat de Sfax,4905
El Masdour,Gouvernorat de Monastir,4705
Rouhia,Gouvernorat de Siliana,4675
Dar Allouch,Gouvernorat de Nabeul,4558
Sidi Bennour,Gouvernorat de Monastir,4520
Cherahil,Gouvernorat de Monastir,4406
Jedelienne,Gouvernorat de Kasserine,4352
Bou Merdes,Gouvernorat de Mahdia,4338
Dehiba,Gouvernorat de Tataouine,4295
El Mida,Gouvernorat de Nabeul,4155
Goubellat,Gouvernorat de Béja,4128
Menzel Mehiri,Gouvernorat de Kairouan,3870
Fernana,Gouvernorat de Jendouba,3831
Kondar,Gouvernorat de Sousse,3804
Menzel Fersi,Gouvernorat de Monastir,3603
Korbous,Gouvernorat de Nabeul,3532
Haïdra,Gouvernorat de Kasserine,3451
Cebbala Ouled Asker,Gouvernorat de Sidi Bouzid,3361
Nebeur,Gouvernorat du Kef,3299
El Alâa,Gouvernorat de Kairouan,3276
Sidi Bou Rouis,Gouvernorat de Siliana,3258
Graïba,Gouvernorat de Sfax,3251
Hebira,Gouvernorat de Mahdia,3248
Sidi Makhlouf,Gouvernorat de Médenine,3070
Beni Khedache,Gouvernorat de Médenine,2930
Chebika,Gouvernorat de Kairouan,2921
El Aroussa,Gouvernorat de Siliana,2905
Sidi El Hani,Gouvernorat de Sousse,2706
Kesra,Gouvernorat de Siliana,2602
Kalâat Khasba,Gouvernorat du Kef,2558
Ouchtata,Gouvernorat de Béja,na
Slouguia,Gouvernorat de Béja,na
Sidi Ismail,Gouvernorat de Béja,na
Ouled Haffouz,Gouvernorat de Sidi Bouzid,2494
Oued Meliz,Gouvernorat de Jendouba,2388
Tamerza,Gouvernorat de Tozeur,2334
Menzel Chaker,Gouvernorat de Sfax,2278
Touiref,Gouvernorat du Kef,2178
Matmata,Gouvernorat de Gabès,1847
Menzel Salem,Gouvernorat du Kef,1824
Aïn Djeloula,Gouvernorat de Kairouan,1757
Echrarda,Gouvernorat de Kairouan,1705
Beni M'Tir,Gouvernorat de Jendouba,784
Aachech,Gouvernorat de Sfax,na
Al Ahouaz-El Assouda,Gouvernorat de Sidi Bouzid,na
Belkhir,Gouvernorat de Gafsa,na
Bouchemma,Gouvernorat de Gabès,na
El Amra,Gouvernorat de Sfax,na
El Ayoun,Gouvernorat de Kasserine,na
Ennasr,Gouvernorat de Sfax,na
Ezzouhour,Gouvernorat de Kasserine,na
Essaïda,Gouvernorat de Sidi Bouzid,na
Faouar,Gouvernorat de Kébili,na
Fouchana,Gouvernorat de Ben Arous,na
Ghezala,Gouvernorat de Bizerte,na
Hadjeb,Gouvernorat de Sfax,na
Hassi El Ferid,Gouvernorat de Kasserine,na
Hazeg Ellouza,Gouvernorat de Sfax,na
Hazoua,Gouvernorat de Tozeur,na
Hkaima,Gouvernorat de Mahdia,na
Joumine,Gouvernorat de Bizerte,na
Lela,Gouvernorat de Gafsa,na
Menzel El Habib,Gouvernorat de Gabès,na
Mohamedia,Gouvernorat de Ben Arous,na
Mnihla,Gouvernorat de l'Ariana,na
Nadhour Sidi Ali Ben Abed,Gouvernorat de Sfax,na
Ouabed Khazanet,Gouvernorat de Sfax,na
Rjim Maatoug,Gouvernorat de Kébili,na
Saouaf,Gouvernorat de Zaghouan,na
Sidi Aïch,Gouvernorat de Gafsa,na
Sidi Zid,Gouvernorat de Mahdia,na
Smâr,Gouvernorat de Tataouine,na
Souk Jedid,Gouvernorat de Sidi Bouzid,na
Teboulbou,Gouvernorat de Gabès,na
Thibar,Gouvernorat de Béja,na
Tlelsa,Gouvernorat de Mahdia,na
Utique,Gouvernorat de Bizerte,na
Zarzis Nord,Gouvernorat de Médenine,na
Zelba,Gouvernorat de Mahdia,na
Fondouk Jedid,Gouvernorat de Nabouel,na
Ghedir el Golla,Gouvernorat de Tunis,na
تونس,ولاية تونس,638845
صفاقس,ولاية صفاقس,272801
سوسة,ولاية سوسة,221530
التضامن-المنيهلة,ولاية أريانة,142953
القيروان,ولاية القيروان,139070
بنزرت,ولاية بنزرت,136917
قابس,ولاية قابس,130984
سكرة,ولاية أريانة,129693
أريانة,ولاية أريانة,114486
سيدي حسين,ولاية تونس,109690
المحمدية-فوشانة,ولاية بن عروس,106167
المروج,ولاية بن عروس,104586
قفصة,ولاية قفصة,95242
رواد,ولاية أريانة,94961
المنستير,ولاية المنستير,93306
المرسى,ولاية تونس,92987
بن عروس,ولاية بن عروس,88322
القصرين,ولاية القصرين,83534
دوار هيشر,ولاية منوبة,82531
بن قردان,ولاية مدنين,79912
حومة السوق,ولاية مدنين,75904
الكرم,ولاية تونس,74132
الحمامات,ولاية نابل,73236
جرجيس,ولاية مدنين,72611
باردو,ولاية تونس,71961
مدنين,ولاية مدنين,71406
نابل,ولاية نابل,70437
تطاوين,ولاية تطاوين,66924
ميدون,ولاية مدنين,63528
باجة,ولاية باجة,62303
مساكن,ولاية سوسة,60165
رادس,ولاية بن عروس,59794
واد الليل,ولاية منوبة,57851
مكنين,ولاية المنستير,57111
الكاف,ولاية الكاف,54690
منزل بورقيبة,ولاية بنزرت,54536
القلعة الكبرى,ولاية سوسة,53323
ساقية الزيت,ولاية صفاقس,53243
المهدية,ولاية المهدية,51833
جمال,ولاية المنستير,50275
قصر هلال,ولاية المنستير,49376
سيدي بوزيد,ولاية سيدي بوزيد,48284
قليبية,ولاية نابل,46856
ساقية الدائر,ولاية صفاقس,45767
حلق الوادي,ولاية تونس,45711
جندوبة,ولاية جندوبة,45431
العين,ولاية صفاقس,43337
حمام سوسة,ولاية سوسة,42937
حمام الأنف,ولاية بن عروس,42518
